,n
1383,7179
1384,7182
1385,7185
1386,7193
1387,7196
1388,7203
1389,7204
1390,7214
1391,7215
1392,7221
1393,7223
1394,7224
1395,7226
1396,7227
1397,7232
1398,7233
1399,7237
1400,7239
1401,7240
1402,7241
1403,7244
1404,7245
1405,7246
1406,7248
1407,7251
1408,7257
1409,7259
1410,7262
1411,7264
1412,7269
1413,7273
1414,7278
1415,7282
1416,7284
1417,7295
1418,7296
1419,7300
1420,7301
1421,7302
1422,7303
1423,7304
1424,7305
1425,7306
1426,7307
1427,7308
1428,7309
1429,7310
1430,7311
1431,7316
1432,7320
1433,7322
1434,7323
1435,7329
1436,7330
1437,7332
1438,7333
1439,7334
1440,7336
1441,7340
1442,7344
1443,7349
1444,7350
1445,7355
1446,7360
1447,7361
1448,7364
1449,7366
1450,7370
1451,7377
1452,7380
1453,7388
1454,7390
1455,7399
1456,7403
1457,7411
1458,7417
1459,7422
1460,7424
1461,7425
1462,7433
1463,7434
1464,7439
1465,7443
1466,7444
1467,7455
1468,7466
1469,7468
1470,7471
1471,7476
1472,7477
1473,7484
1474,7486
1475,7488
1476,7499
1477,7503
1478,7512
1479,7518
1480,7521
1481,7524
1482,7527
1483,7535
1484,7542
1485,7553
1486,7554
1487,7563
1488,7575
1489,7581
1490,7584
1491,7603
1492,7612
1493,7613
1494,7619
1495,7620
1496,7621
1497,7624
1498,7626
1499,7629
1500,7631
1501,7633
1502,7634
1503,7635
1504,7636
1505,7642
1506,7648
1507,7662
1508,7663
1509,7664
1510,7674
1511,7684
1512,7691
1513,7693
1514,7703
1515,7709
1516,7714
1517,7719
1518,7722
1519,7725
1520,7728
1521,7733
1522,7737
1523,7741
1524,7746
1525,7752
1526,7755
1527,7764
1528,7773
1529,7774
1530,7782
1531,7790
1532,7791
1533,7803
1534,7815
1535,7821
1536,7827
1537,7838
1538,7844
1539,7845
1540,7851
1541,7872
1542,7883
1543,7884
1544,7903
1545,7913
1546,7916
1547,7923
1548,7926
1549,7930
1550,7931
1551,7932
1552,7934
1553,7936
1554,7939
1555,7943
1556,7961
1557,7962
1558,7971
1559,7993
1560,7994
1561,8002
1562,8012
1563,8021
1564,8022
1565,8032
1566,8042
1567,8052
1568,8062
1569,8063
1570,8072
1571,8082
1572,8084
1573,8092
1574,8102
1575,8112
1576,8113
1577,8120
1578,8121
1579,8124
1580,8126
1581,8131
1582,8135
1583,8136
1584,8142
1585,8146
1586,8148
1587,8153
1588,8157
1589,8162
1590,8163
1591,8164
1592,8168
1593,8175
1594,8179
1595,8184
1596,8186
1597,8189
1598,8193
1599,8197
1600,8200
1601,8201
1602,8202
1603,8203
1604,8204
1605,8205
1606,8206
1607,8207
1608,8208
1609,8209
1610,8210
1611,8211
1612,8214
1613,8216
1614,8217
1615,8220
1616,8222
1617,8223
1618,8226
1619,8228
1620,8230
1621,8232
1622,8233
1623,8234
1624,8238
1625,8239
1626,8240
1627,8241
1628,8244
1629,8246
1630,8250
1631,8255
1632,8258
1633,8260
1634,8261
1635,8266
1636,8270
1637,8271
1638,8277
1639,8280
1640,8282
1641,8288
1642,8290
1643,8293
1644,8299
1645,8302
1646,8311
1647,8315
1648,8322
1649,8323
1650,8324
1651,8328
1652,8332
1653,8333
1654,8337
1655,8344
1656,8346
1657,8351
1658,8355
1659,8364
1660,8366
1661,8369
1662,8377
1663,8387
1664,8388
1665,8396
1666,8399
1667,8402
1668,8408
1669,8412
1670,8416
1671,8418
1672,8419
1673,8420
1674,8421
1675,8423
1676,8424
1677,8426
1678,8432
1679,8434
1680,8436
1681,8442
1682,8443
1683,8448
1684,8450
1685,8461
1686,8462
1687,8463
1688,8474
1689,8480
1690,8481
1691,8484
1692,8486
1693,8491
1694,8498
1695,8502
1696,8513
1697,8517
1698,8525
1699,8528
1700,8531
1701,8540
1702,8552
1703,8553
1704,8562
1705,8571
1706,8585
1707,8593
1708,8602
1709,8613
1710,8614
1711,8618
1712,8621
1713,8622
1714,8624
1715,8625
1716,8626
1717,8630
1718,8631
1719,8634
1720,8636
1721,8639
1722,8641
1723,8642
1724,8662
1725,8663
1726,8681
1727,8682
1728,8684
1729,8692
1730,8693
1731,8702
1732,8715
1733,8719
1734,8727
1735,8733
1736,8744
1737,8751
1738,8772
1739,8773
1740,8783
1741,8791
1742,8802
1743,8809
1744,8814
1745,8816
1746,8819
1747,8822
1748,8823
1749,8825
1750,8826
1751,8828
1752,8832
1753,8833
1754,8837
1755,8840
1756,8841
1757,8844
1758,8846
1759,8852
1760,8855
1761,8861
1762,8864
1763,8873
1764,8882
1765,8883
1766,8890
1767,8891
1768,8902
1769,8917
1770,8929
1771,8931
1772,8935
1773,8948
1774,8962
1775,8971
1776,8981
1777,8992
1778,8993
1779,9001
1780,9011
1781,9021
1782,9022
1783,9031
1784,9033
1785,9041
1786,9044
1787,9051
1788,9055
1789,9061
1790,9066
1791,9071
1792,9077
1793,9081
1794,9088
1795,9091
1796,9099
1797,9100
1798,9101
1799,9102
1800,9103
1801,9104
1802,9105
1803,9106
1804,9107
1805,9108
1806,9109
1807,9110
1808,9111
1809,9112
1810,9120
1811,9121
1812,9122
1813,9123
1814,9128
1815,9130
1816,9132
1817,9133
1818,9134
1819,9137
1820,9140
1821,9142
1822,9143
1823,9144
1824,9145
1825,9150
1826,9154
1827,9155
1828,9156
1829,9160
1830,9163
1831,9165
1832,9166
1833,9167
1834,9170
1835,9176
1836,9177
1837,9178
1838,9180
1839,9184
1840,9187
1841,9188
1842,9189
1843,9190
1844,9198
1845,9199
1846,9201
1847,9208
1848,9211
1849,9212
1850,9213
1851,9218
1852,9219
1853,9220
1854,9221
1855,9222
1856,9223
1857,9224
1858,9225
1859,9231
1860,9233
1861,9234
1862,9235
1863,9236
1864,9237
1865,9242
1866,9244
1867,9247
1868,9248
1869,9249
1870,9255
1871,9259
1872,9262
1873,9263
1874,9266
1875,9267
1876,9277
1877,9280
1878,9281
1879,9284
1880,9288
1881,9291
1882,9293
1883,9298
1884,9299
1885,9301
1886,9307
1887,9312
1888,9313
1889,9314
1890,9317
1891,9318
1892,9321
1893,9322
1894,9324
1895,9325
1896,9326
1897,9327
1898,9329
1899,9330
1900,9331
1901,9332
1902,9338
1903,9339
1904,9341
1905,9342
1906,9355
1907,9362
1908,9363
1909,9368
1910,9370
1911,9371
1912,9381
1913,9382
1914,9384
1915,9392
1916,9393
1917,9397
1918,9401
1919,9413
1920,9414
1921,9415
1922,9421
1923,9423
1924,9427
1925,9428
1926,9429
1927,9431
1928,9432
1929,9440
1930,9441
1931,9442
1932,9451
1933,9462
1934,9464
1935,9482
1936,9488
1937,9493
1938,9496
1939,9501
1940,9514
1941,9515
1942,9516
1943,9522
1944,9523
1945,9529
1946,9532
1947,9535
1948,9541
1949,9550
1950,9551
1951,9552
1952,9561
1953,9582
1954,9595
1955,9601
1956,9615
1957,9616
1958,9617
1959,9622
1960,9624
1961,9627
1962,9631
1963,9633
1964,9638
1965,9644
1966,9651
1967,9660
1968,9661
1969,9662
1970,9671
1971,9682
1972,9694
1973,9701
1974,9716
1975,9717
1976,9718
1977,9723
1978,9724
1979,9732
1980,9742
1981,9761
1982,9770
1983,9771
1984,9772
1985,9781
1986,9793
1987,9801
1988,9817
1989,9818
1990,9819
1991,9823
1992,9825
1993,9833
1994,9841
1995,9843
1996,9848
1997,9862
1998,9871
1999,9880
2000,9881
2001,9882
2002,9891
2003,9892
2004,9901
2005,9909
2006,9918
2007,9919
2008,9924
2009,9925
2010,9928
2011,9932
2012,9933
2013,9934
2014,9937
2015,9942
2016,9946
2017,9952
2018,9955
2019,9964
2020,9973
2021,9981
2022,9982
2023,9990
2024,9991
2025,9992
